date,montant,type_transaction,id_client,region,frequence_transaction,souscrit_offre
2029-01-24,8200,retrait,175,Bouaké,5,0
2030-01-26,7480,retrait,70,Yamoussoukro,9,1
2027-07-21,2072,retrait,124,Yamoussoukro,12,1
2031-04-16,2848,dépôt,195,Bouaké,11,0
2034-11-22,2041,dépôt,93,Yamoussoukro,13,0
2030-05-04,6786,retrait,140,Abidjan,16,1
2027-11-01,9004,retrait,9,Bouaké,10,0
2026-01-28,5157,paiement,36,San-Pédro,29,0
2034-02-06,4894,dépôt,79,Yamoussoukro,28,1
2033-04-19,3425,dépôt,153,San-Pédro,13,0
2027-03-16,9724,dépôt,76,Bouaké,5,0
2031-01-23,4550,paiement,12,Bouaké,1,0
2031-03-07,575,paiement,166,Bouaké,14,0
2034-10-01,8058,paiement,33,Yamoussoukro,25,1
2034-11-21,9932,dépôt,193,San-Pédro,1,1
2035-02-11,5200,retrait,49,San-Pédro,11,0
2044-09-28,4053,dépôt,167,Bouaké,19,0
2036-09-06,3876,paiement,22,Yamoussoukro,7,0
2030-07-11,4262,retrait,132,Bouaké,12,1
2029-04-21,7219,dépôt,68,Yamoussoukro,4,0
2033-10-07,380,paiement,20,Abidjan,29,1
2039-04-23,5717,retrait,176,Abidjan,1,0
2039-10-15,6513,retrait,113,San-Pédro,1,1
2043-10-19,1794,paiement,160,Yamoussoukro,3,1
2025-03-05,7481,dépôt,19,San-Pédro,20,0
2031-08-30,1244,retrait,117,Abidjan,1,0
2044-09-27,9869,retrait,67,Abidjan,25,1
2031-09-17,3698,dépôt,3,Yamoussoukro,25,0
2025-02-02,7099,retrait,87,Bouaké,24,1
2031-06-06,8948,retrait,84,Abidjan,29,1
2025-03-22,5693,paiement,87,San-Pédro,19,0
2042-11-16,4860,dépôt,117,Abidjan,23,0
2041-12-23,187,retrait,125,San-Pédro,3,0
2027-06-07,5697,retrait,124,San-Pédro,12,0
2041-09-09,1626,dépôt,148,Yamoussoukro,24,1
2025-11-08,9764,dépôt,10,Yamoussoukro,29,0
2037-07-24,9405,paiement,100,Abidjan,20,0
2036-02-16,2382,dépôt,63,Yamoussoukro,12,0
2024-05-02,5302,paiement,145,Yamoussoukro,28,1
2025-10-14,2816,paiement,97,Abidjan,16,0
2030-09-16,9457,retrait,64,Bouaké,17,0
2030-06-09,5568,paiement,51,Yamoussoukro,10,0
2037-09-07,4147,retrait,187,Yamoussoukro,2,0
2031-01-08,2444,paiement,34,Abidjan,17,0
2032-03-16,2727,dépôt,83,San-Pédro,15,0
2037-02-21,7718,dépôt,124,San-Pédro,4,0
2025-12-11,7615,retrait,13,Yamoussoukro,9,0
2040-07-08,5476,dépôt,194,Abidjan,16,0
2036-08-21,1393,retrait,65,Abidjan,21,0
2040-01-20,4111,retrait,18,Bouaké,10,0
2030-12-31,7701,retrait,199,San-Pédro,1,0
2034-01-02,5337,paiement,101,Bouaké,14,0
2034-11-10,4853,retrait,187,Bouaké,15,0
2042-03-01,6009,paiement,52,San-Pédro,18,0
2026-08-15,6150,retrait,89,Abidjan,13,0
2044-03-02,4146,retrait,30,Bouaké,19,0
2029-03-02,666,paiement,113,Yamoussoukro,28,0
2041-03-21,6184,retrait,117,San-Pédro,10,1
2042-11-01,8779,paiement,199,Abidjan,7,1
2025-05-16,3002,retrait,117,San-Pédro,28,0
2038-04-23,5066,paiement,172,Yamoussoukro,15,0
2029-10-01,4284,dépôt,24,Bouaké,12,1
2024-04-10,8208,paiement,37,Abidjan,23,0
2030-11-22,9688,dépôt,21,Bouaké,22,0
2036-08-01,1818,retrait,124,Yamoussoukro,7,0
2042-04-13,6573,dépôt,107,Yamoussoukro,29,0
2040-02-01,4392,dépôt,189,San-Pédro,22,0
2037-11-30,7095,retrait,3,Yamoussoukro,15,0
2027-02-11,1626,retrait,198,Yamoussoukro,14,0
2033-09-20,3145,dépôt,156,Yamoussoukro,20,1
2031-12-07,9362,paiement,123,Abidjan,1,0
2023-09-21,9813,retrait,192,San-Pédro,24,0
2033-06-03,8389,retrait,31,Yamoussoukro,20,0
2034-03-08,5507,paiement,142,San-Pédro,22,0
2044-06-18,1644,dépôt,64,Yamoussoukro,19,1
2027-12-17,2505,dépôt,170,Yamoussoukro,26,1
2026-02-18,8039,paiement,153,Bouaké,22,1
2038-12-15,9426,dépôt,58,Bouaké,22,0
2028-11-19,778,dépôt,167,Yamoussoukro,22,1
2033-10-04,1914,dépôt,105,Yamoussoukro,11,0
2040-04-20,4151,paiement,40,Bouaké,18,0
2032-01-04,2689,paiement,38,Yamoussoukro,4,0
2024-11-13,2021,dépôt,6,Yamoussoukro,21,0
2030-10-11,1172,retrait,109,Bouaké,28,1
2025-09-29,2044,dépôt,114,Bouaké,1,1
2041-06-30,5043,paiement,183,Abidjan,4,0
2037-01-16,1056,paiement,140,Yamoussoukro,11,0
2034-09-30,8354,dépôt,198,Abidjan,25,1
2028-12-13,5211,paiement,77,San-Pédro,11,0
2024-04-28,1345,paiement,7,Bouaké,16,1
2033-06-10,7054,retrait,188,San-Pédro,12,1
2035-02-01,3203,paiement,159,Yamoussoukro,23,0
2024-06-02,1347,dépôt,183,San-Pédro,23,0
2042-02-18,7691,dépôt,80,Yamoussoukro,20,0
2026-09-07,5606,dépôt,112,Yamoussoukro,28,0
2024-11-27,442,retrait,92,Abidjan,18,0
2025-10-06,832,dépôt,44,Yamoussoukro,23,1
2040-04-18,8961,paiement,199,Abidjan,21,0
2041-01-21,7954,retrait,158,Yamoussoukro,9,1
2030-08-02,3331,dépôt,26,Yamoussoukro,8,0
2025-12-10,8571,retrait,174,Abidjan,21,0
2026-09-01,4845,paiement,27,Abidjan,28,1
2031-03-06,341,dépôt,60,San-Pédro,19,0
2044-02-09,9664,retrait,110,Abidjan,4,1
2041-06-22,6649,dépôt,73,Abidjan,14,1
2035-02-08,4306,dépôt,115,Bouaké,22,0
2032-04-15,7644,retrait,13,San-Pédro,25,0
2027-01-23,2173,paiement,7,Yamoussoukro,17,1
2036-04-23,9027,dépôt,156,San-Pédro,28,1
2028-04-18,9463,retrait,28,Yamoussoukro,4,0
2025-10-31,9508,dépôt,163,Abidjan,17,1
2038-01-06,5050,dépôt,18,Bouaké,29,1
2029-10-14,4740,retrait,135,Yamoussoukro,25,0
2023-12-16,8083,dépôt,113,Yamoussoukro,8,0
2035-01-11,8352,retrait,41,Yamoussoukro,10,0
2034-12-01,165,paiement,75,Bouaké,25,0
2043-09-10,4096,dépôt,26,Bouaké,8,0
2025-11-27,8150,dépôt,74,San-Pédro,7,0
2025-05-29,8981,dépôt,80,Yamoussoukro,19,0
2038-05-04,3565,dépôt,76,Yamoussoukro,11,0
2029-12-17,2431,dépôt,87,Yamoussoukro,7,0
